"YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","CARRIER","TAIL_NUM","FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_STATE_NM","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_FIPS","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","FIRST_DEP_TIME","TOTAL_ADD_GTIME","LONGEST_ADD_GTIME"
2017,1,1,1,7,"2017-01-01","WN",19393,"WN","N954WN",3015,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,12191,1219102,31453,"HOU","Houston, TX","TX",48,"Texas",74,1100,1055,-5,0,0,-1,"1100-1159",8,1103,1306,6,1325,1312,-13,0,0,-1,"1300-1359",0,"",0,205,197,183,1,1131,5,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,1,7,"2017-01-01","AA",19805,"AA","N4XUAA",1252,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX",48,"Texas",74,1127,1119,-8,0,0,-1,"1100-1159",24,1143,1316,11,1343,1327,-16,0,0,-2,"1300-1359",0,"",0,196,188,153,1,1067,5,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,1,7,"2017-01-01","WN",19393,"WN","N741SA",2978,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,15016,1501603,31123,"STL","St. Louis, MO","MO",29,"Missouri",64,1155,1154,-1,0,0,-1,"1100-1159",7,1201,1235,3,1255,1238,-17,0,0,-2,"1200-1259",0,"",0,120,104,94,1,554,3,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,1,7,"2017-01-01","AA",19805,"AA","N826AA",1855,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11057,1105703,31057,"CLT","Charlotte, NC","NC",37,"North Carolina",36,1211,1203,-8,0,0,-1,"1200-1259",12,1215,1322,8,1344,1330,-14,0,0,-1,"1300-1359",0,"",0,93,87,67,1,366,2,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,1,7,"2017-01-01","DL",19790,"DL","N896AT",1599,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,10397,1039705,30397,"ATL","Atlanta, GA","GA",13,"Georgia",34,1308,1258,-10,0,0,-1,"1300-1359",8,1306,1436,11,1508,1447,-21,0,0,-2,"1500-1559",0,"",0,120,109,90,1,526,3,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,1,7,"2017-01-01","UA",19977,"UA","N33286",709,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,1611,1602,-9,0,0,-1,"1600-1659",9,1611,1719,6,1752,1725,-27,0,0,-2,"1700-1759",0,"",0,221,203,188,1,1290,6,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,1,7,"2017-01-01","F9",20436,"F9","N233FR",277,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,1820,1838,18,18,1,1,"1800-1859",13,1851,2001,30,2000,2031,31,31,1,2,"2000-2059",0,"",0,220,233,190,1,1290,6,7,0,13,0,11,NA,NA,NA
2017,1,1,2,1,"2017-01-02","WN",19393,"WN","N627SW",4839,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,12191,1219102,31453,"HOU","Houston, TX","TX",48,"Texas",74,1915,1951,36,36,1,2,"1900-1959",9,2000,2222,7,2140,2229,49,49,1,3,"2100-2159",0,"",0,205,218,202,1,1131,5,19,0,13,0,17,NA,NA,NA
2017,1,1,2,1,"2017-01-02","WN",19393,"WN","N7822A",2520,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,15304,1530402,33195,"TPA","Tampa, FL","FL",12,"Florida",33,2000,2026,26,26,1,1,"2000-2059",9,2035,2236,5,2225,2241,16,16,1,1,"2200-2259",0,"",0,145,135,121,1,873,4,5,0,0,0,11,NA,NA,NA
2017,1,1,2,1,"2017-01-02","DL",19790,"DL","N906AT",1365,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,10397,1039705,30397,"ATL","Atlanta, GA","GA",13,"Georgia",34,2012,2016,4,4,0,0,"2000-2059",10,2026,2155,12,2215,2207,-8,0,0,-1,"2200-2259",0,"",0,123,111,89,1,526,3,NA,NA,NA,NA,NA,NA,NA,NA
